node,sxx,syy,szz,sxy,sxz,syz,principal_stress,TCI,crack_risk
122,-0.08199878437499993,0.8551827361750001,-0.8528833828125,-0.13276632321718748,0.17578762499999995,0.38601636718750004,3.9221124843749995,0.21200608023648643,False
177,3.5775765625,1.9683138193750003,-0.12004079999999998,-0.10913758131250001,0.48396930625,0.3224452687499999,3.5775765625,0.19338251689189193,False
178,3.6071582499999995,2.394376181725001,-0.265652009375,-0.16223933221875,0.5227568734375,0.12128487187500002,3.7416754375,0.20225272635135133,False
11,-14.545867812500001,-11.822240875,-0.19198353062500012,0.021343557437499994,-1.8192993906250003,1.6153367375,14.545867812500001,0.7862631249999998,False
67,-9.144484317187501,-6.243856776562501,-0.6971174028125001,0.0036170203437499893,-0.8893554487499999,0.30526595703125,9.317972296875,0.5036741782094594,False
123,-0.07802830156249985,0.8616256291437501,-0.7177693054687501,-0.091108324625,0.33834247078124996,-0.6272108093750002,3.9058190937500004,0.21112535641891883,False
179,3.58704421875,2.3887239364124992,-0.2332873359375,-0.1681071325,0.6360964484375,-0.24961679531250003,3.72156140625,0.2011654814189189,False
12,-14.24756625,-10.887741375000001,0.41996893125,0.060590804687499986,-1.76815396875,3.5057921249999997,14.24756625,0.7701387162162161,False
68,-8.738526759375002,-5.407085468749999,0.4478815031250001,0.058502550593749994,-0.8140993303125001,0.8595121515625004,9.06136415625,0.48980346790540535,False
124,0.15393061562499982,1.0152898831250001,0.21024131093749998,-0.0322294426875,0.4253018821874999,-1.10306294375,3.70625528125,0.20033812331081083,False
180,3.5373485,1.95700932875,-0.05531145312499999,-0.12087318187500001,0.71064845625,-0.419358065625,3.5373485,0.19120802702702705,False
13,-15.359865625,-11.236296125,-0.58990791,-0.06217362324999999,-1.5508729625,-4.3677311875,15.359865625,0.8302630067567568,False
14,-15.699156875,-12.207089312499999,-0.5258706365625001,-0.13039504090625,-1.3827129437500003,-2.4871546640625,15.699156875,0.8486030743243244,False
69,-9.797255125,-5.568504031250001,-0.005030186249999992,-0.09886904693749998,-1.0469736343749998,-1.41974800625,9.87456034375,0.5337600185810811,False
70,-10.266718968750002,-6.455091915624999,-0.7164030901562499,-0.19406035982812503,-0.87294723375,-0.94180839259375,10.305371578125003,0.5570471123310808,False
125,-0.18079612500000009,1.0526906784375003,0.2815150284374999,-0.15690738781250002,-0.27375943478125,0.9552318874999998,4.13115371875,0.22330560641891894,False
126,-0.45541326562499956,0.8806408205499999,-0.5360318853125,-0.2655276765625,-0.13306586332812498,0.3873209738124999,4.516118781249999,0.2441145287162162,False
181,3.873052375,2.0060932943750003,-0.01681748062500002,-0.178250305,-0.004444563312499994,0.3822286000000001,3.873052375,0.20935418243243245,False
182,3.92345453125,2.4643761598500005,-0.165128226875,-0.27332967437499994,0.09704979709375,0.17110406875,4.12065128125,0.22273790709459462,False
15,-15.758852812499997,-12.11804875,0.19377267156249994,-0.11278488765625,-1.12535896875,1.4341938984375,15.758852812499997,0.8518298817567567,False
71,-10.363740687500004,-6.371172384375,-0.2330408454687499,-0.187145160953125,-0.6053160693750005,0.15415264928124994,10.419809656250004,0.5632329543918922,False
127,-0.5633942343749998,0.9078913719562501,-0.4166104315625,-0.28642305290625003,0.08755731515625001,-0.68213798509375,4.560014625,0.24648727702702702,False
183,3.8418400937499997,2.4400787626625,-0.17336650062499998,-0.3113406715625,0.2603878003124999,-0.2383873703125,4.039262750000001,0.21833852702702708,False
16,-15.479257499999997,-11.058214999999999,0.84937870625,-0.026953316749999998,-1.0361650125,3.4749659375000004,15.479257499999997,0.8367166216216216,False
72,-9.9912985625,-5.400664968749999,0.9616943031249999,-0.08503864918750001,-0.511711305625,0.7721740774999998,10.103436500000003,0.5461317027027027,False
128,-0.3967580625000003,1.10719178125,0.5203579359374999,-0.1986981405,0.1674869221875,-1.1836860303125005,4.2189454062500005,0.22805110304054058,False
184,3.7098234999999997,1.9574984999999998,-0.033294028125000014,-0.254272299375,0.32223144312499996,-0.436754278125,3.7102753125000003,0.2005554222972973,False
17,-15.92959125,-11.60929375,-0.3359284124999999,-0.11423631312499999,-1.191740175,-4.8638217500000005,15.92959125,0.8610589864864866,False
18,-16.242303125,-12.75453375,-0.12911755968749994,-0.2864797690625,-1.0529648749999998,-3.0624987890625004,16.242303125,0.8779623310810809,False
73,-10.209307093749999,-5.765700406249998,0.37736740437499994,-0.17011399718749998,-0.8816650468749999,-1.6747069562499997,10.239980749999999,0.5535124729729729,False
74,-10.668929218750002,-6.8696820203125,-0.25767424484375,-0.3923921142187501,-0.6802936698437498,-1.2346477704062502,10.684266046875,0.5775278944256759,False
129,-0.2666926874999997,1.0614122037500002,0.6557023059374999,-0.246313646875,-0.37573821321875006,0.9919643365000003,4.25300390625,0.22989210304054056,False
